student_id,gender,point_process,test_score,interest,attitude,result
1,Female,5,4,low,focus,Faile
2,Female,6,7,medium,lazy,Pass
3,Male,9,6,high,lazy,Pass
4,Female,6,5,high,lazy,Faile
5,Female,8,6,medium,lazy,Pass
6,Female,5,7,low,focus,Faile
7,Female,8,4,low,focus,Faile
8,Male,8,4,high,focus,Faile
9,Male,10,5,medium,lazy,Faile
10,Male,7,7,high,focus,Pass
11,Male,8,7,high,lazy,Pass
12,Male,6,8,low,focus,Pass
13,Male,6,5,low,lazy,Faile
14,Female,9,4,low,lazy,Faile
15,Male,8,4,low,lazy,Faile
16,Female,10,6,low,lazy,Pass
17,Male,10,4,low,lazy,Faile
18,Male,10,5,low,focus,Faile
19,Male,5,5,low,focus,Faile
20,Female,5,6,medium,lazy,Faile
21,Female,5,7,medium,lazy,Faile
22,Female,5,8,medium,focus,Faile
23,Female,5,5,medium,lazy,Faile
24,Male,6,4,medium,focus,Faile
25,Male,7,4,medium,lazy,Faile
26,Male,8,4,high,focus,Faile
27,Male,9,4,high,lazy,Faile
28,Male,8,4,high,focus,Faile
29,Male,7,4,high,focus,Faile
30,Male,6,4,high,lazy,Faile
31,Female,8,4,high,lazy,Faile
32,Female,6,4,low,lazy,Faile
33,Female,5,4,low,focus,Faile
34,Male,5,4,low,focus,Faile
35,Female,5,4,medium,focus,Faile
36,Male,5,8,medium,lazy,Faile
37,Female,5,5,medium,focus,Faile
38,Male,8,6,high,lazy,Pass
39,Female,9,5,high,focus,Faile
40,Male,9,5,high,lazy,Faile
41,Male,9,8,low,focus,Pass
42,Male,7,8,medium,focus,Pass
43,Male,10,8,high,lazy,Pass
44,Male,10,8,low,focus,Pass
45,Male,10,8,high,lazy,Pass
46,Male,10,8,medium,focus,Pass
47,Male,8,7,low,focus,Pass
48,Male,9,5,high,focus,Faile
49,Male,6,6,high,focus,Pass
50,Male,7,6,medium,focus,Pass
51,Male,7,5,low,focus,Faile
52,Female,7,4,high,focus,Faile
53,Female,8,5,low,focus,Faile
54,Female,5,6,medium,focus,Faile
55,Female,5,5,high,focus,Faile
56,Female,9,6,low,focus,Pass
57,Female,9,6,medium,lazy,Pass
58,Female,7,6,high,lazy,Pass
59,Female,7,6,low,lazy,Pass
60,Female,7,6,medium,focus,Pass
61,Female,7,6,low,focus,Pass
62,Female,7,6,medium,focus,Pass
63,Female,7,6,high,lazy,Pass
64,Male,6,6,high,focus,Pass
65,Female,6,6,high,lazy,Pass
66,Male,6,4,high,focus,Faile
67,Female,6,5,low,lazy,Faile
68,Male,6,8,low,focus,Pass
69,Female,6,7,low,lazy,Pass
70,Male,9,5,low,focus,Faile
71,Male,8,6,medium,lazy,Pass
72,Female,8,8,medium,lazy,Pass
73,Male,8,5,medium,focus,Faile
74,Female,8,6,low,lazy,Pass
75,Female,8,4,low,focus,Faile
76,Female,8,5,medium,lazy,Faile
77,Female,10,7,low,focus,Pass
